African Human Mobility Review	ahmr	https://epubs.ac.za/index.php/ahmr/oai	pdf
Canadian Journal of European and Russian Studies	cjers	https://ojs.library.carleton.ca/index.php/CJERS/oai	pdf
Commonwealth Journal of Local Governance	cjlg	http://epress.lib.uts.edu.au/journals/index.php/cjlg/oai	pdf
Complexity, Governance & Networks	cgn	http://ubp.uni-bamberg.de/ojs/index.php/cgn/oai	pdf
European Integration Studies	eis	http://www.eis.ktu.lt/index.php/EIS/oai	pdf
European Journal of Government and Economics	ejge	http://revistas.udc.es/index.php/ejge/oai	pdf
Interdisciplinary Political Studies	idps	http://siba-ese.unisalento.it/index.php/idps/oai	pdf
International Indigenous Policy Journal	iipj	https://ojs.lib.uwo.ca/index.php/iipj/oai	pdf
International Journal of Armenian Genocide Studies	ijags	http://agmipublications.am/index.php/ijags/oai	pdf
Italian Political Science	ips	http://italianpoliticalscience.com/index.php/ips/oai	pdf
Journal for Perspectives of Economic Political and Social Integration	jpepsi	https://ojs.tnkul.pl/index.php/jpepsi/oai	pdf
Journal of ASEAN Studies	jas	https://journal.binus.ac.id/index.php/jas/oai	pdf
Journal of Government and Civil Society	jgs	http://jurnal.umt.ac.id/index.php/jgs/oai	pdf
Journal of International Studies	jis	http://e-journal.uum.edu.my/index.php/jis/oai	pdf
Journal of Islamic World and Politics	jiwp	https://journal.umy.ac.id/index.php/jiwp/oai	pdf
Journal of Local Government Research and Innovation	jolgri	https://jolgri.org/index.php/jolgri/oai	pdf
Journal of Social Political Sciences	jsps	http://e-journal.unas.ac.id/index.php/jsps/oai	pdf
Journal of World-Systems Research	jwsr	https://jwsr.pitt.edu/ojs/index.php/jwsr/oai	pdf
Jurnal Studi Pemerintahan	jsp	http://journal.umy.ac.id/index.php/jsp/oai	pdf
Migraciones Internacionales	migracionesinternacionales	https://migracionesinternacionales.colef.mx/index.php/migracionesinternacionales/oai	pdf
Partecipazione e Conflitto	paco	http://siba-ese.unisalento.it/index.php/paco/oai	pdf
Perspective Politice	ppol	http://perspective.politice.ro/index.php/ppol/oai	pdf
Politikon	politikon	http://politikon.iapss.org/index.php/politikon/oai	pdf
PORTAL: Journal of Multidisciplinary International Studies	portal	https://epress.lib.uts.edu.au/journals/index.php/portal/oai	pdf
Publica	publica	https://journal.uinsgd.ac.id/index.php/publica/oai	pdf
The Copenhagen Journal of Asian Studies	cjas	https://rauli.cbs.dk/index.php/cjas/oai	pdf
The Journal of Intelligence, Conflict and Warfare	jicw	https://jicw.org/index.php/jicw/oai	pdf
The School of Public Policy Publications	sppp	https://journalhosting.ucalgary.ca/index.php/sppp/oai	pdf
Torun International Studies	tsm	http://wydawnictwoumk.pl/czasopisma/index.php/TSM/oai	pdf
Transylvanian Review of Administrative Sciences	tras	http://www.rtsa.ro/tras/index.php/tras/oai	pdf
WIMAYA	wimaya	http://wimaya.upnjatim.ac.id/index.php/wimaya/oai	pdf
